a_sf1,a_sf2,a_sf3,beam,e_ch_tes,eta,eta_field_tot,eta_field1,eta_field2,eta_field3,eta_therm,eta_rec_therm1,eta_rec_therm2,eta_rec_therm3,m_dot_rec,m_dot_rec1,m_dot_rec2,m_dot_rec3,p_cycle,p_out_net,q_ch_tes,q_dc_tes,q_dot_hx1,q_dot_hx2,q_dot_hx3,q_dot_rec_inc,q_dot_rec_inc1,q_dot_rec_inc2,q_dot_rec_inc3,t_hx_tes_out1,t_hx_tes_out2,t_hx_tes_out3,t_pc_in,t_pc_out,t_rec_in1,t_rec_in2,t_rec_in3,t_rec_out1,t_rec_out2,t_rec_out3,t_tes_cold,t_tes_hot,tdry
m2,m2,m2,W/m2,MWh,-,-,-,-,-,-,-,-,-,kg/s,kg/s,kg/s,kg/s,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0,0,0,0,1256.047917,0.486390,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,103.136484,101.358082,0,213.704097,0,0,0,0,0,0,0,582.053229,582.053229,582.053229,703.834167,529.664618,0,0,0,0,0,0,575.125521,716.450486,4
0,0,0,0,1059.981667,0.486854,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,103.206215,101.427813,0,213.681997,0,0,0,0,0,0,0,575.125521,575.125521,575.125521,703.689861,529.540833,0,0,0,0,0,0,570.192847,716.293958,4
0,0,0,0,863.314861,0.487398,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,103.287804,101.509410,0,213.656267,0,0,0,0,0,0,0,570.192847,570.192847,570.192847,703.520903,529.395903,0,0,0,0,0,0,566.492743,716.108194,3
0,0,0,0,665.942222,0.488054,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,103.386120,101.607726,0,213.625451,0,0,0,0,0,0,0,566.492743,566.492743,566.492743,703.317222,529.221076,0,0,0,0,0,0,563.605382,715.880278,3
0,0,0,0,467.699549,0.488880,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,103.509792,101.731398,0,213.586979,0,0,0,0,0,0,0,563.605382,563.605382,563.605382,703.060833,529.000903,0,0,0,0,0,0,561.279132,715.585417,3
0,0,0,0,268.290851,0.489998,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,103.676997,101.898620,0,213.535486,0,0,0,0,0,0,0,561.279132,561.279132,561.279132,702.713819,528.702778,0,0,0,0,0,0,559.351528,715.166111,2
0,0,0,0,66.927452,0.491745,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,103.937569,102.159201,0,213.456476,0,0,0,0,0,0,0,559.351528,559.351528,559.351528,702.172361,528.237083,0,0,0,0,0,0,557.707118,714.435139,2
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,-0.580269,0,66.661128,0,0,0,0,0,0,0,557.707118,557.707118,557.707118,704.131944,537.500000,0,0,0,0,0,0,557.361111,713.116389,2
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557.361111,557.361111,557.361111,700,537.500000,0,0,0,0,0,0,557.296910,711.473750,2
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557.296910,557.296910,557.296910,700,537.500000,0,0,0,0,0,0,557.232708,709.834792,2
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557.232708,557.232708,557.232708,700,537.500000,0,0,0,0,0,0,557.168507,708.199653,2
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557.168507,557.168507,557.168507,700,537.500000,0,0,0,0,0,0,557.104167,706.566042,1
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557.104167,557.104167,557.104167,700,537.500000,0,0,0,0,0,0,557.039896,704.936111,1
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557.039896,557.039896,557.039896,700,537.500000,0,0,0,0,0,0,556.975590,703.310000,1
0,0,0,289,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556.975590,556.975590,556.975590,700,537.500000,0,0,0,0,0,0,556.911528,701.692292,3
536178.737778,562605.760000,665240.960000,262,0,0,0.333310,0.387380,0.403169,0.230649,0,0,0,0,0,0,0,0,0,-1.939760,0,0,0,0,0,0,0,0,0,556.911528,556.911528,556.911528,700,537.500000,561.200000,561.200000,561.200000,561.200000,561.200000,561.200000,556.847708,700.082917,5
518850.595556,547362.773333,697795.057778,860,387.847483,0.223037,0.462407,0.568451,0.526295,0.333443,0.790300,0.794399,0.801278,0.775222,1071.252662,1071.253519,980.623204,754.222431,50.129349,40.011261,663.814931,244.368481,216.682405,198.594653,153.340417,701.493404,253.649298,247.743947,200.100142,716.703993,716.916632,717.537812,700.199792,565.187465,580.600521,569.702344,569.489687,730,730,730,557.450417,713.968889,8
512028.586667,549570.773333,702335.857778,888,871.396458,0.446526,0.511011,0.643196,0.536514,0.394687,0.805902,0.813668,0.805370,0.798667,1237.164642,1237.165632,1059.266270,985.222319,100.454748,89.546840,763.560694,233.373038,246.057622,211.183507,196.637865,800.434489,292.449049,261.829102,246.156320,716.540903,716.920972,717.094931,701.692153,558.181597,577.780035,572.395000,572.015000,730,730,730,559.888542,715.426597,11
497239.146667,592875.875556,673840.071111,909,1321.361389,0.446615,0.529382,0.666210,0.511569,0.444086,0.811428,0.815057,0.810213,0.809013,1298.986825,1298.987864,1129.156854,1110.001402,100.493299,88.880955,817.909653,236.453785,256.732622,223.657813,219.921719,848.829511,301.120711,275.696711,272.012089,716.494653,716.839028,716.880486,701.935278,565.342882,580.498646,573.393889,573.049549,730,730,730,562.440729,715.734583,13
492576.497778,636600.248889,634761.671111,712,1554.101667,0.446804,0.533278,0.671136,0.472798,0.486954,0.777447,0.770746,0.778855,0.782741,1065.627970,1065.628823,853.836219,878.342945,100.575286,90.013941,639.689028,250.940208,208.127778,167.317813,172.048403,669.756516,235.377262,214.300089,220.079129,717.173125,717.688264,717.623611,702.452569,594.671875,595.430069,575.267604,574.752431,730,730,730,574.771007,716.022222,14
