q_sf_des,cycle_design_power,solar_multiple,h_tower,dni_design_point,receiver_height,receiver_tube_diam,riser_inner_diam,downcomer_inner_diam,hours_tes,dT_approach_charge_hx,dT_approach_ht_disch_hx,dT_approach_lt_disch_hx,Annual energy,Capacity factor,LCOE (real),PPA price (year 1),Annual gross cycle,Annual rec to particle,TOU 1 frac,TOU1 cap fac,TOU 2 frac,TOU2 cap fac,TOU 3 frac,TOU3 cap fac,TOU 4 frac,TOU4 cap fac,Cap fac weighted,Cap fac weighted MIN0,Site improvement,A_sf,N_hel_pre,q_sf_des_pre,total_q_rec_inc,Heliostats,Tower,Receiver,Storage,Power block,Contingency,Recirculator cost,Cycle efficiency,Design CR deltaP,Direct costs subtotal,Indirect costs subtotal,Net capital cost,NPV costs,OM lifetime total,Analysis period,Cost per capacity,Tower height,Charge HX duty,Discharge HX (hot) duty,Discharge HX (cold) duty,Charge HX UA,Discharge HX (hot) UA,Discharge HX (cold) UA,Charge HX effectiveness,Discharge HX (hot) effectiveness,Discharge HX (cold) effectiveness,Charge HX cost,Discharge (hot) HX cost,Discharge (cold) HX cost,Riser cost,Downcomer cost
732.6470666,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,559140325.5,85.4005583,5.21666694,6.273840602,621403621.4,1367868178,0.05890411,106.261001,0.068721461,100.9090828,0.207534247,102.1850258,0.663926941,91.72509243,0.918124995,0.918124995,15523936.52,1552393.652,21340.00617,732.6470666,1706519.44,116429523.9,9636400.227,8058691.748,78035817.4,49827000,22029951.94,0,0.438627563,2.382548382,336743551.1,31586829.64,400991759,480763015.8,140456584.5,30,4928.123049,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,23147893.62,6899077.782,3544196.655,5181399.628,5285808.08
706.3261338,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,593573457.3,90.65971875,5.340316818,6.422583995,639664723.6,1289397716,0.05890411,103.8284083,0.068721461,102.3880561,0.207534247,103.1734151,0.663926941,95.2230116,0.946099576,0.946099576,15011391,1501139.1,20635.43697,706.3261338,1558480.09,112585432.5,11797858.7,5603561.792,81033615.14,49827000,23533181.61,0,0.471213207,2.203048663,359721490.3,33654844.18,428574196.2,522466706.8,166269839.8,30,5263.228565,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,30847408.2,9193867.574,4723076.87,4363624.904,4451554.683
693.085635,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,568231317.8,86.78907525,4.663036911,5.607907714,635088416.6,1322244151,0.05890411,105.8990947,0.068721461,101.9626448,0.207534247,103.1143042,0.663926941,94.31729031,0.940615556,0.940615556,14744898.32,1474489.832,20269.1034,693.085635,1566281.118,110586737.4,11064548.3,5703567.589,64161993.25,49827000,21212843.28,0,0.461591344,2.252033931,324253461.6,30462721.59,385250714.9,436728109,87871645.94,30,4745.970166,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,29128238.81,8681480.419,4459853.162,3593192.239,3665597.316
710.4365811,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,527359028.7,80.54642713,4.944613853,5.946515344,600451017.5,1434471380,0.05890411,102.8341785,0.068721461,100.3397061,0.207534247,100.4372202,0.663926941,89.56479741,0.885712782,0.885712782,15092967.96,1509296.796,20747.57653,710.4365811,1713669.082,113197259.7,11285745.86,6933885.143,63232255.57,49827000,21136344.01,0,0.426389709,2.460888339,323084115.6,30357480.45,383678415.3,429789590.9,77867466.79,30,4728.916666,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,22332794.21,6656142.75,3419395.985,4226445.352,4311610.877
682.0831234,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,542444591.9,82.85052766,4.951340705,5.954735468,599896088.7,1423820394,0.05890411,102.3065468,0.068721461,99.50219111,0.207534247,100.8506807,0.663926941,89.06930666,0.883907664,0.883907664,14519228.69,1451922.869,19958.88706,682.0831234,1663915.023,108894215.2,8509165.214,6411358.751,52999951.29,49827000,20382774.31,0,0.417735591,2.520797683,311565264.4,29320783.84,371034841.7,442685524.6,125920725.6,30,4560.928121,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,20694186.59,6167766.503,3168507.169,3964853.297,4044747.578
695.0994063,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,569227703,86.94125862,4.87659818,5.86508971,623250798.3,1369354373,0.05890411,106.1718818,0.068721461,101.0644766,0.207534247,102.2544872,0.663926941,91.9696714,0.920541086,0.920541086,14785791,1478579.1,20325.31645,695.0994063,1633741.502,110893432.5,10685149.04,3202925.112,60675569.72,49827000,18342577.87,0,0.437529641,2.389309795,280379404.7,26514056.46,336101254.2,457530580,219805647.9,30,4106.11999,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,31083883.2,9264347.395,4759283.789,4991270.13,5091847.354
750.6300306,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,574651728,87.76969959,5.708916596,6.865998453,627043467.2,1341716326,0.05890411,106.6379997,0.068721461,101.6687734,0.207534247,102.6547077,0.663926941,93.15966472,0.928275253,0.928275253,15860024.55,1586002.455,21802.00831,750.6300306,1705553.438,118950184.1,9873360.729,6790974.548,68341202.5,49827000,23065339,0,0.461982816,2.249941864,352570181.9,33011226.41,421083537,540723869.3,214600076.9,30,5158.93536,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,22987797.51,6851362.188,3519684.183,5527621.772,5639006.817
707.9270323,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,526486323.9,80.41313414,6.227700467,7.48981641,597493282.3,1459262930,0.05890411,102.5406175,0.068721461,99.54495918,0.207534247,100.1388344,0.663926941,89.2681104,0.880197113,0.880197113,15043228.69,1504322.869,20679.20257,707.9270323,1730363.652,112824215.2,8780429.247,6540686.363,106397778.5,49827000,24221932.78,0,0.404136801,2.622772923,370249543.9,34602369,441171541.5,540420651.3,176014861.9,30,5416.767521,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,45273967.44,13493608.88,6931941.479,6368608.038,6496939.484
701.9934149,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,566140446.1,86.46972499,5.292986093,6.365559089,632822714.7,1221037485,0.05890411,85.75812717,0.068721461,101.0673437,0.207534247,102.0710741,0.663926941,97.14336463,0.938207453,0.938207453,14924806.24,1492480.624,20516.41344,701.9934149,1440639.742,111936046.8,12102110.36,8209026.066,65733151.54,49827000,23380264.14,0,0.512822535,2.022191959,357384037.6,33444473.43,424916795.3,493903452.2,119758523.1,30,5229.139637,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,22677712.67,6758943.436,3472206.79,4209329.784,4294150.419
739.2652504,83.045,2.2,110.71,650,4.342,0.375,0.399,0.403,11.381,31.009,23.255,23.255,583883556.2,89.17972719,4.970184727,5.977517729,637703641.3,1280834966,0.05890411,102.1094657,0.068721461,102.0820558,0.207534247,102.7848275,0.663926941,95.17248554,0.943709527,0.943709527,15649020.89,1564902.089,21511.95295,739.2652504,1604832.019,117367656.7,7728223.363,6993428.464,71484997.85,49827000,20656992.46,0,0.481440211,2.154158286,315756884.8,29698029.68,377047620,478317093,181196999.1,30,4622.057847,110.71,184754.5715,120020.1021,64685.74866,5958.095118,5327.313447,2736.74933,0.831297706,0.815017542,0.70000903,30837140.97,9190807.491,4721504.844,3310937.948,3377655.424
