70.4233,76.8524
85.3805,52.8533
105.552,28.4322
179.992,11.4127
254.448,28.4321
274.619,52.8532
289.576,76.8524
76.17,80.5606
92.6394,56.1575
116.514,32.3729
179.991,18.2267
243.415,32.3991
267.263,56.2014
283.711,80.6337
98.8783,59.5768
124.597,36.7032
179.993,24.5298
235.332,36.7426
261.008,59.6392
104.969,63.4691
131.423,41.7311
179.99,31.1528
228.507,41.7754
254.911,63.5389
110.308,67.3316
136.673,46.7403
179.993,37.3556
223.268,46.7894
249.579,67.4082
115.853,71.7779
141.528,52.4917
179.995,44.1885
218.427,52.5415
244.048,71.8552
121.033,76.2935
145.612,58.3078
179.997,50.8989
214.358,58.3508
238.892,76.3605
126.541,81.4049
149.563,64.8574
180.003,58.2866
210.439,64.8586
233.46,81.4068
