66.8,334,850,,,,,,,,,,,,,,,,,
70.43,76.85,0.4,0.502,0.317,33880,26344,42536,0.396,0.512,0.304,173376,131232,227072,0.392,0.525,0.304,471086,342412,610932
85.39,52.85,0.563,0.661,0.488,34320,28984,39456,0.55,0.659,0.467,177120,145856,208704,0.536,0.646,0.446,471478,385140,567812
105.58,28.44,0.622,0.686,0.597,34976,31512,36272,0.606,0.67,0.569,179968,161376,190336,0.588,0.643,0.539,476868,431004,516558
180,11.43,0.644,0.658,0.663,34960,33920,33880,0.623,0.637,0.638,180896,175136,175648,0.602,0.604,0.609,478436,473634,472360
254.42,28.43,0.617,0.594,0.685,35136,36064,31560,0.605,0.565,0.67,179808,190144,161728,0.589,0.532,0.647,475006,517930,431494
274.6,52.85,0.559,0.485,0.661,34424,39144,29192,0.549,0.458,0.664,177056,208416,146208,0.535,0.439,0.654,472556,566146,385728
289.57,76.84,0.401,0.314,0.515,33976,42328,26456,0.402,0.3,0.529,173792,226624,131264,0.395,0.301,0.547,473830,609952,340648
76.17,80.56,0.333,0.413,0.277,34400,27168,41192,0.337,0.418,0.265,173856,136512,221312,0.331,0.431,0.261,468734,352898,602798
92.65,56.16,0.572,0.672,0.494,34280,28912,39568,0.563,0.668,0.468,175200,145856,210624,0.54,0.657,0.446,467754,383866,572810
116.54,32.38,0.632,0.697,0.606,35000,31480,36280,0.622,0.68,0.576,178688,161760,191232,0.597,0.653,0.544,472066,432278,520086
180,18.24,0.653,0.674,0.672,35112,33688,33960,0.635,0.647,0.648,180640,175232,175808,0.615,0.612,0.616,475888,474418,474124
243.39,32.41,0.634,0.604,0.697,34856,36240,31664,0.615,0.574,0.681,179584,190240,161856,0.593,0.541,0.655,474320,517636,432474
267.25,56.2,0.569,0.493,0.674,34464,39104,29192,0.56,0.463,0.674,176160,209248,146272,0.552,0.437,0.658,463638,574280,386512
283.71,80.63,0.334,0.275,0.422,34552,40888,27320,0.336,0.261,0.431,175584,219904,136192,0.34,0.257,0.448,467068,603974,353388
98.89,59.58,0.581,0.686,0.496,34192,28672,39896,0.57,0.679,0.471,174976,145312,211392,0.55,0.656,0.445,462658,384552,577220
124.62,36.71,0.642,0.708,0.613,34928,31496,36336,0.625,0.688,0.582,165664,178784,187232,0.611,0.66,0.55,471968,431690,520772
